AGE,GENDER,POLICYSTATUS,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,INFLATIONRATE,SUMASSURED,PREMIUM
56,1,0,1,24,1.11,1.46,90000,30000
64,1,0,1,16,1.05,1.46,296000,115111.16
52,1,0,1,22,1.05,1.46,160000,40000.03
63,1,0,1,16,1.05,1.46,350000,116666.64
70,1,0,1,16,1.05,1.46,6000000,2500000
69,1,0,1,17,1.05,1.46,390000,195000
62,1,0,1,15,1.15,1.46,2300000,1341666.65
61,1,0,1,17,1.05,1.46,240000,80000.04
51,1,0,1,28,1.15,1.46,170000,56666.72
66,1,0,1,16,1,1.46,1500000,500000.04
54,1,0,1,20,1.05,1.46,1180000,156232.95
64,1,0,1,19,1.15,1.46,640000,248888.84
53,0,0,1,25,1.05,1.46,220000,110000.02
56,1,0,1,21,1.05,1.46,200000,49999.97
52,1,0,1,29,1.05,1.46,830000,368888.9
60,1,0,1,20,1.05,1.46,300000,75000
58,1,0,1,23,1.05,1.46,1100000,611111.12
69,1,0,1,20,1.05,1.46,1100000,183333.3
68,1,0,1,20,1.05,1.46,500000,249999.98
58,0,0,1,30,1.05,1.46,750000,187500
57,1,0,1,30,1.05,1.46,900000,500509.78
60,1,0,1,17,1.05,1.46,700000,233333.36
54,1,0,1,28,1.15,1.46,750000,187500
61,1,0,1,20,1.15,1.46,950000,474999.98
55,1,0,1,24,1.1,1.46,860000,286666.64
62,1,0,1,15,1.05,1.46,2000000,1000000.01
56,1,0,1,23,1.05,1.46,310000,189444.46
67,1,0,1,17,1.05,1.46,800000,444444.48
69,1,0,1,18,1.05,1.46,2000000,666666.64
66,1,0,1,18,1.05,1.46,450000,250000
58,1,0,1,26,1.15,1.46,440000,268888.92
59,1,0,1,26,1.15,1.46,1750000,1166666.68
64,1,0,1,17,1.15,1.46,360000,220000
69,0,0,1,18,1.05,1.46,400000,166666.69
54,1,0,1,20,1.05,1.46,560000,342222.23
66,1,0,1,19,1.05,1.46,400000,233540.29
56,0,0,1,21,1.05,1.46,4000000,2888888.9
53,0,0,1,21,1.05,1.46,750000,437500
65,0,0,1,19,1.05,1.46,10500000,7583333.35
66,0,0,1,15,1.05,1.46,3000000,2333333.32
63,1,0,1,16,1.05,1.46,2000000,1555555.56
61,1,0,1,19,1.05,1.46,12000000,9333333.32
58,1,0,1,25,1.05,1.46,10000000,7777777.76
61,1,0,1,18,1.05,1.46,650000,487499.99
65,1,0,1,15,1.05,1.46,35000000,30605751.32
70,1,0,1,19,1.05,1.46,7500000,5625000
57,1,0,1,23,1.05,1.46,11000000,10388888.89
53,1,0,1,20,1.05,1.46,1000000,888888.88
61,1,0,1,17,1.05,1.46,9000000,8000000
52,0,0,1,28,1.05,1.46,3600000,3000000
54,1,0,1,23,1.05,1.46,7000000,6611111.11
63,0,0,1,20,1.15,1.46,4000000,3000000.01
50,1,0,1,28,1.05,1.46,10000000,9444444.44
57,1,0,1,22,1.15,1.46,1500000,1416666.67
63,1,0,1,18,1.05,1.46,9000000,8500000
68,1,0,1,17,1.05,1.46,10000000,10000000
58,1,0,1,20,1.15,1.46,5500000,5041666.67
66,1,0,1,18,1.15,1.46,8600000,8122222.22
69,1,0,1,20,1.15,1.46,3700000,3700000
59,1,0,1,22,1.05,1.46,135000,52500
53,1,0,1,24,1.05,1.46,200000,66666.68
65,1,0,1,15,1.15,1.46,167000,31933.5
55,1,0,1,20,1.15,1.46,250000,97222.21
53,1,0,1,23,1.05,1.46,270000,105000
63,0,0,1,17,1.05,1.46,270000,105000
65,1,0,1,18,1.15,1.46,300000,149999.97
